76
qstr_{reg0}<{reg1} {reg0}<{reg1}
qstr_Bu_kapi_sana_ait. Bu_kapi_sana_ait.
qstr_Bu_kapinin_anahtarin Bu_kapinin_anahtarina_sahip_degilsin.
qstr_Kapi_ID:__{reg0}_. Kapi_ID:_({reg0}).
qstr_http://127.0.0.1/kuzg http://127.0.0.1/kuzgun_buy_success<{reg0}<{reg1}
qstr_Kuzgun_alicak_paran_ Kuzgun_alicak_paran_yok._(2000)
qstr_Mektubunuz_yazildi._ Mektubunuz_yazildi._Yerde_duruyor.
qstr_http://127.0.0.1/kuzgu http://127.0.0.1/kuzgun_seal_success<{reg0}<{reg1}<{reg2}<{reg3}
qstr_Elinde_mektup_tutmuy Elinde_mektup_tutmuyorsun.
qstr_Artik_dogrulanmis_uy Artik_dogrulanmis_uyesiniz.
qstr_http://127.0.0.1/hea http://127.0.0.1/heal_buy_success<{reg0}<{reg1}<{reg2}
qstr_Ameliyata_ihtiyacin_ Ameliyata_ihtiyacin_yok.
qstr_Tedavi_alacak_paran_ Tedavi_alacak_paran_yok._(10000)
qstr_http://127.0.0.1/ban http://127.0.0.1/ban_player<{reg0}<1<1
qstr_{reg0}_guidli_oyuncu {reg0}_guidli_oyuncu_ddos_saldirisindan_banlandi._(message_flood)
qstr_http://127.0.0.2/{re http://127.0.0.2/{reg0}<{s0}
qstr_^ ^
qstr_http://127.0.0.1/mes http://127.0.0.1/message_sent<{reg10}<{reg11}<{reg12}<{s0}<{reg13}
qstr_http://127.0.0.1/che http://127.0.0.1/check_door_key_teleport<{reg0}<{reg1}<{reg2}<{reg3}<{reg4}<{reg5}<{reg6}<{reg7}<{reg8}
qstr_Halkin_ihtiyacindan_ Halkin_ihtiyacindan_fazla_urun_sagladin._Fiyatlarda_dusus_yasandi.
qstr_Degerli_bir_esya_ure Degerli_bir_esya_uretimi_icin_10_bin_dinar_verildi.
qstr_http://127.0.0.1/chec http://127.0.0.1/check_door_key<{reg0}<{reg1}<{reg2}<{reg3}<{reg4}
qstr_Takip_etmeyi_birakti Takip_etmeyi_birakti.
qstr_Takip_ediyor. Takip_ediyor.
qstr_http://127.0.0.1/ban_ http://127.0.0.1/ban_player<{reg0}<0<1
qstr_http://127.0.0.1/par http://127.0.0.1/para_cek<{reg0}<{reg1}<{reg2}<{reg3}
qstr_http://127.0.0.1/para http://127.0.0.1/para_yatir<{reg0}<{reg1}<{reg2}<{reg3}
qstr_[E]_Could_not_get_on [E]_Could_not_get_one_or_more_skybox_prop_instances!
qstr_Time:_Day Time:_Day
qstr_Time:_Sunrise Time:_Sunrise
qstr_Time:_Sunset Time:_Sunset
qstr_Time:_Night Time:_Night
qstr_http://127.0.0.1/load_p http://127.0.0.1/load_player<{reg0}<{reg1}<{s0}
qstr_http://127.0.0.1/save http://127.0.0.1/save_player<{reg0}<{reg1}<{reg2}<{reg3}<{reg4}<{reg5}<{reg6}<{reg7}<{reg8}<{reg9}<{reg10}<{reg11}<{reg12}<{reg13}<{reg14}<{reg15}<{reg16}<{reg17}<{reg18}
qstr_http://127.0.0.1/save_ http://127.0.0.1/save_inventory<{reg0}<{reg19}<{reg20}<{reg21}<{reg22}<{reg23}<{reg24}<{reg25}<{reg26}<{reg27}<{reg28}<{reg29}<{reg30}
qstr_http://127.0.0.1/spec http://127.0.0.1/special_string<{reg0}<welcome<0
qstr_http://127.0.0.1/load_g http://127.0.0.1/load_gear<{reg0}<{reg1}
qstr_http://127.0.0.1/get http://127.0.0.1/get_bank_info<{reg0}<{reg1}
qstr_GUID_iniz:_{reg0} GUID'iniz:_{reg0}
qstr_http://127.0.0.1/str http://127.0.0.1/strip_gear<{reg0}<{reg1}<{reg2}<{reg3}<{reg4}
qstr_Cok_gucsuzsun. Cok_gucsuzsun.
qstr_Hit_verme_kapatildi. Hit_verme_kapatildi.
qstr_Dogrulanmayan_oyuncu Dogrulanmayan_oyuncular_agresif_yapamaz.
qstr_Yeni_baslayan_oyuncu Yeni_baslayan_oyunculara_hasar_verilemez.
qstr_http://127.0.0.1/pin http://127.0.0.1/ping_tcp
