106
qstr_save save
qstr_Bu_kapi_sana_ait. Bu_kapi_sana_ait.
qstr_Bu_kapinin_anahtarin Bu_kapinin_anahtarina_sahip_degilsin.
qstr_Kapi_ID:__{reg0}_. Kapi_ID:_({reg0}).
qstr_check_door_key_reque check_door_key_request_failed.
qstr_default_request_fail default_request_failed.
qstr_http://127.0.0.1/save http://127.0.0.1/save_agent<{reg0}<{reg1}<{reg2}<{reg3}<{reg4}<{reg5}<{reg6}<{reg7}<{reg8}<{reg9}<{reg10}<{reg11}<{reg12}<{reg13}<{reg14}<{reg15}
qstr_Server_got_saved. Server_got_saved.
qstr_fist fist
qstr_{s0}^Ironflesh:_{reg {s0}^Ironflesh:_{reg10}
qstr_{s0}^Power_strike:_{ {s0}^Power_strike:_{reg10}
qstr_{s0}^Power_draw:_{re {s0}^Power_draw:_{reg10}
qstr_{s0}^Power_throw:_{r {s0}^Power_throw:_{reg10}
qstr_{s0}^Shield:_{reg10} {s0}^Shield:_{reg10}
qstr_{s0}^Athletics:_{reg {s0}^Athletics:_{reg10}
qstr_{s0}^Riding:_{reg10} {s0}^Riding:_{reg10}
qstr_{s0}^Horse_archery:_ {s0}^Horse_archery:_{reg10}
qstr_{s0}^Engineer:_{reg1 {s0}^Engineer:_{reg10}
qstr_{s0}^Wound_treatment {s0}^Wound_treatment:_{reg10}
qstr_{s0}^Labouring:_{reg {s0}^Labouring:_{reg10}
qstr_{s0}^Looting:_{reg10 {s0}^Looting:_{reg10}
qstr_{s0}^Sailing:_{reg10 {s0}^Sailing:_{reg10}
qstr_{s0}^Tailoring:_{reg {s0}^Tailoring:_{reg10}
qstr_{s0}^Herding:_{reg10 {s0}^Herding:_{reg10}
qstr_{s0}^Musician:_{reg1 {s0}^Musician:_{reg10}
qstr_http://127.0.0.1/che http://127.0.0.1/check_door_key_tp<{reg0}<{reg1}<{reg2}<{reg3}<{reg4}<{reg5}<{reg6}
qstr_http://127.0.0.1/chec http://127.0.0.1/check_door_key<{reg0}<{reg1}<{reg2}
qstr_http://127.0.0.1/ban http://127.0.0.1/ban_player<{reg0}<0<1
qstr_http://127.0.0.1/ban_ http://127.0.0.1/ban_player<{reg0}<1<1
qstr_[E]_Could_not_get_on [E]_Could_not_get_one_or_more_skybox_prop_instances!
qstr_Initializing_scripts Initializing_scripts...
qstr_Connecting_to_script Connecting_to_script_server.
qstr_http://127.0.0.1/upd http://127.0.0.1/update_settings
qstr_http://127.0.0.1/load_p http://127.0.0.1/load_player<{reg0}<{s0}
qstr_http://127.0.0.1/save_ http://127.0.0.1/save_player<{reg0}<{reg1}<{reg2}<{reg3}<{reg4}<{reg5}
qstr_http://127.0.0.1/save_e http://127.0.0.1/save_equipment<{reg0}<{reg1}<{reg2}<{reg3}<{reg4}<{reg5}<{reg6}<{reg7}<{reg8}
qstr_http://127.0.0.1/str http://127.0.0.1/strip_agent<{reg0}
qstr_http://127.0.0.1/save_i http://127.0.0.1/save_inventory<{reg0}<{reg1}<{reg2}<{reg3}<{reg4}<{reg5}<{reg6}<{reg7}<{reg8}<{reg9}<{reg10}<{reg11}<{reg12}
qstr_http://127.0.0.1/load_g http://127.0.0.1/load_gear<{reg0}
qstr_Dogrulanmadan_agresi Dogrulanmadan_agresif_yapamazsiniz.
qstr_Dogrulanmamis_oyuncu Dogrulanmamis_oyunculara_agresif_yapamazsiniz.
